code,brand,category,color,price,currency,stock,inStock,sizes
SKU06234,Diadora,shoe,Green,34,USD,0,FALSE,"S,M,L,XL"
SKU06898,Diadora,shoe,Green,70,USD,0,FALSE,"S,M,L"
SKU01750,Adidas,shoe,Grey,66,USD,0,FALSE,"XS,L"
SKU07065,NewBalance,shoe,Navy,81,USD,860,TRUE,"S,M,L"
SKU07733,NewBalance,shoe,Red,64,USD,0,FALSE,"S,M,L"
SKU07602,NewBalance,shoe,Blue,92,USD,596,TRUE,"M,L,XL"
SKU02480,Vans,shoe,Grey,80,USD,1610,TRUE,"S,M,L,XXL"
SKU01172,Adidas,shoe,Ivory,51,USD,0,FALSE,"M,L,XL"
SKU09348,Onitsuka,shoe,Yellow,72,USD,1395,TRUE,"S,M,L,XL"
SKU04167,Sketchers,shoe,Red,66,USD,0,FALSE,"XS,S,M"
SKU01760,Adidas,shoe,Red,62,USD,0,FALSE,"S,M"
SKU00712,Nike,shoe,Khaki,31,USD,381,TRUE,"S,M,XL,XXL"
SKU09414,Onitsuka,shoe,Green,38,USD,59,TRUE,"S,M,L,XL"
SKU00100,Nike,shoe,Navy,50,USD,0,FALSE,"S,L"
SKU01941,Adidas,shoe,Khaki,40,USD,77,TRUE,"XS,S,M,L,XL"
SKU06408,Diadora,shoe,Green,35,USD,172,TRUE,"M,L"
SKU02089,Vans,shoe,White,46,USD,0,FALSE,"S,M,L"
SKU02013,Vans,shoe,Khaki,89,USD,1726,TRUE,L
SKU02257,Vans,shoe,Navy,49,USD,120,TRUE,"XS,S,M"
SKU04709,Sketchers,shoe,Black,48,USD,0,FALSE,"M,L"
SKU04058,Sketchers,shoe,Grey,74,USD,0,FALSE,"S,L"
SKU08135,Converse,shoe,Grey,32,USD,818,TRUE,"S,M,XL"
SKU00175,Nike,shoe,Khaki,83,USD,1450,TRUE,"S,M,L,XL"
SKU04073,Sketchers,shoe,Navy,35,USD,1435,TRUE,"XS,S,M,L,XL,XXL"
SKU06274,Diadora,shoe,Yellow,59,USD,0,FALSE,"XS,S,M,L"
SKU09584,Onitsuka,shoe,Navy,62,USD,758,TRUE,"S,M,L,XXL"
SKU05512,Hummel,shoe,Yellow,93,USD,0,FALSE,M
SKU05851,Hummel,shoe,Blue,32,USD,0,FALSE,"XS,S,L"
SKU03586,Puma,shoe,Grey,80,USD,1553,TRUE,"M,L,XXL"
SKU07999,NewBalance,shoe,Navy,49,USD,772,TRUE,"S,M,L"
SKU06983,Diadora,shoe,Ivory,76,USD,587,TRUE,"XS,S,M,L"
SKU04349,Sketchers,shoe,Black,68,USD,1707,TRUE,"S,M,L"
SKU00810,Nike,shoe,Yellow,63,USD,18,TRUE,"S,L"
SKU07631,NewBalance,shoe,Blue,56,USD,727,TRUE,"S,L"
SKU03967,Puma,shoe,Khaki,87,USD,0,FALSE,"S,M,L,XL"
SKU01508,Adidas,shoe,Grey,87,USD,535,TRUE,"S,M,L"
SKU05643,Hummel,shoe,Black,99,USD,0,FALSE,"M,L"
SKU07300,NewBalance,shoe,Red,44,USD,917,TRUE,"XS,S,L"
SKU01923,Adidas,shoe,Navy,52,USD,0,FALSE,"XS,M,L,XL"
SKU04452,Sketchers,shoe,Yellow,87,USD,1532,TRUE,"XS,S,M,L,XL"
SKU01213,Adidas,shoe,Khaki,38,USD,1757,TRUE,"XS,S,M,L"
SKU04196,Sketchers,shoe,Blue,63,USD,1485,TRUE,"XS,S,M,XXL"
SKU03598,Puma,shoe,Blue,86,USD,1554,TRUE,"M,XXL"
SKU00234,Nike,shoe,Grey,85,USD,1929,TRUE,"S,M,L,XXL"
SKU07759,NewBalance,shoe,Ivory,81,USD,1151,TRUE,"S,M,L"
SKU08755,Converse,shoe,Navy,81,USD,0,FALSE,"XS,S,M,L,XL"
SKU00324,Nike,shoe,Ivory,51,USD,0,FALSE,"M,L,XL"
SKU01412,Adidas,shoe,Red,51,USD,0,FALSE,"XS,M,L"
SKU08753,Converse,shoe,White,98,USD,248,TRUE,"S,M,L"
SKU02451,Vans,shoe,Grey,49,USD,1312,TRUE,"S,M,L"
SKU03138,Puma,shoe,Khaki,59,USD,1105,TRUE,S
SKU04319,Sketchers,shoe,Grey,48,USD,0,FALSE,"S,M"
SKU00003,Nike,shoe,Yellow,31,USD,0,FALSE,"S,M,L"
SKU08317,Converse,shoe,Red,85,USD,0,FALSE,"S,M,L"
SKU05952,Hummel,shoe,Ivory,30,USD,1447,TRUE,"S,M"
SKU04287,Sketchers,shoe,Green,79,USD,0,FALSE,"S,M"
SKU02723,Vans,shoe,Ivory,55,USD,0,FALSE,"S,M,XXL"
SKU00235,Nike,shoe,Red,74,USD,397,TRUE,"S,M,L"
SKU09956,Onitsuka,shoe,Grey,51,USD,0,FALSE,"S,M,L,XL"
SKU06763,Diadora,shoe,Green,44,USD,0,FALSE,"S,M,L,XL"
SKU02061,Vans,shoe,Navy,51,USD,0,FALSE,"S,M,L"
SKU04363,Sketchers,shoe,Blue,40,USD,0,FALSE,"M,XL"
SKU05244,Hummel,shoe,White,75,USD,0,FALSE,"S,M,L"
SKU07704,NewBalance,shoe,Navy,78,USD,34,TRUE,"XS,L"
SKU07353,NewBalance,shoe,Grey,66,USD,1848,TRUE,"S,L"
SKU04945,Sketchers,shoe,Green,48,USD,0,FALSE,"M,L,XXL"
SKU01805,Adidas,shoe,Navy,45,USD,0,FALSE,"XS,S,M"
SKU00798,Nike,shoe,Black,94,USD,1395,TRUE,"S,M,L"
SKU03923,Puma,shoe,Khaki,65,USD,0,FALSE,"S,L"
SKU00529,Nike,shoe,Ivory,61,USD,903,TRUE,"S,M,L,XXL"
SKU04198,Sketchers,shoe,Black,48,USD,1013,TRUE,"M,L"
SKU01497,Adidas,shoe,Green,97,USD,0,FALSE,"M,L"
SKU00914,Nike,shoe,Blue,61,USD,0,FALSE,"S,M,L"
SKU09095,Onitsuka,shoe,Green,46,USD,985,TRUE,"XS,S,M,L"
SKU09012,Onitsuka,shoe,Black,90,USD,0,FALSE,"M,L"
SKU03373,Puma,shoe,Blue,64,USD,0,FALSE,"S,M,XL"
SKU08434,Converse,shoe,Green,75,USD,1548,TRUE,"S,M,L,XXL"
SKU07295,NewBalance,shoe,Khaki,60,USD,0,FALSE,"S,M,L"
SKU09173,Onitsuka,shoe,Khaki,41,USD,0,FALSE,"XS,S,M,L"
SKU07968,NewBalance,shoe,Yellow,52,USD,1733,TRUE,"M,L"
SKU01452,Adidas,shoe,Yellow,96,USD,1601,TRUE,"S,M"
SKU07082,NewBalance,shoe,Blue,46,USD,1279,TRUE,M
SKU03844,Puma,shoe,Ivory,58,USD,0,FALSE,"M,L"
SKU04115,Sketchers,shoe,Green,52,USD,967,TRUE,"M,L"
SKU09776,Onitsuka,shoe,White,56,USD,0,FALSE,"M,L,XXL"
SKU02632,Vans,shoe,Red,37,USD,366,TRUE,L
SKU02132,Vans,shoe,Blue,73,USD,0,FALSE,"XS,S,M,L,XL"
SKU06791,Diadora,shoe,Green,55,USD,0,FALSE,"S,M,L"
SKU00668,Nike,shoe,Black,79,USD,0,FALSE,"XS,S,M,L"
SKU08718,Converse,shoe,Blue,65,USD,0,FALSE,"M,L"
SKU05260,Hummel,shoe,Red,33,USD,0,FALSE,"XS,M,XL"
SKU06357,Diadora,shoe,Blue,69,USD,0,FALSE,M
SKU01470,Adidas,shoe,Red,42,USD,0,FALSE,"M,L"
SKU05452,Hummel,shoe,Yellow,77,USD,1921,TRUE,"S,M,L"
SKU02428,Vans,shoe,Black,64,USD,740,TRUE,"S,M,L,XXL"
SKU01238,Adidas,shoe,Black,52,USD,0,FALSE,"S,M,L"
SKU05979,Hummel,shoe,Green,80,USD,0,FALSE,"M,L,XL"
SKU01125,Adidas,shoe,Black,69,USD,1655,TRUE,"XS,S,M,L"
SKU02842,Vans,shoe,Green,71,USD,0,FALSE,"S,M,L,XL"
SKU00210,Nike,shoe,Grey,65,USD,0,FALSE,"M,L"
SKU08290,Converse,shoe,Red,72,USD,0,FALSE,"S,M,L,XXL"
SKU00144,Nike,shoe,Navy,46,USD,0,FALSE,"S,M"
SKU08475,Converse,shoe,Green,76,USD,0,FALSE,"S,M,L,XL"
SKU08992,Converse,shoe,Ivory,68,USD,0,FALSE,"XXS,XS,S,M,L"
SKU03218,Puma,shoe,Khaki,87,USD,1349,TRUE,"XS,XL"
SKU09186,Onitsuka,shoe,Ivory,45,USD,206,TRUE,"XS,S,M,L"
SKU00790,Nike,shoe,Red,31,USD,295,TRUE,"XXS,M,L"
SKU02012,Vans,shoe,White,56,USD,1971,TRUE,"S,L"
SKU02996,Vans,shoe,Red,48,USD,0,FALSE,"S,M,L"
SKU01768,Adidas,shoe,Grey,93,USD,0,FALSE,"S,M,L"
SKU05091,Hummel,shoe,Yellow,91,USD,1538,TRUE,"S,M,L,XL"
SKU05325,Hummel,shoe,Red,71,USD,538,TRUE,"S,M,L"
SKU05624,Hummel,shoe,Green,55,USD,964,TRUE,"XS,M,L"
SKU03785,Puma,shoe,Green,50,USD,1980,TRUE,"S,M,XXL"
SKU02612,Vans,shoe,Green,54,USD,0,FALSE,"XS,S,M,L"
SKU01481,Adidas,shoe,Ivory,51,USD,0,FALSE,"XS,S,M,L,XL,XXL"
SKU09696,Onitsuka,shoe,Blue,43,USD,698,TRUE,"S,M,L,XL"
SKU01780,Adidas,shoe,Khaki,94,USD,0,FALSE,"S,M,L"
SKU03690,Puma,shoe,Grey,89,USD,16,TRUE,"M,L,XL,XXL"
SKU08104,Converse,shoe,Khaki,85,USD,0,FALSE,"M,L"
SKU02765,Vans,shoe,Grey,64,USD,0,FALSE,"XS,M"
SKU07407,NewBalance,shoe,Red,94,USD,999,TRUE,"M,L"
SKU09275,Onitsuka,shoe,White,64,USD,1289,TRUE,"XS,S,M"
SKU07773,NewBalance,shoe,Khaki,57,USD,0,FALSE,"XS,S,M,L,XL"
SKU01262,Adidas,shoe,Black,61,USD,0,FALSE,"S,M,L"
SKU03742,Puma,shoe,Blue,86,USD,0,FALSE,"XS,S,M"
SKU01746,Adidas,shoe,Red,94,USD,486,TRUE,M
SKU07554,NewBalance,shoe,Grey,79,USD,0,FALSE,"S,M,L,XL,XXL"
SKU01229,Adidas,shoe,Blue,79,USD,900,TRUE,"M,XL,XXL"
SKU01133,Adidas,shoe,Ivory,55,USD,0,FALSE,"S,M,L,XL"
SKU07579,NewBalance,shoe,Red,53,USD,0,FALSE,"S,M,L"
SKU01984,Adidas,shoe,Khaki,77,USD,0,FALSE,"XS,S,M,L,XL"
SKU07239,NewBalance,shoe,Yellow,76,USD,0,FALSE,"S,M,L"
SKU04555,Sketchers,shoe,Khaki,49,USD,0,FALSE,"S,M,L,XL"
SKU00507,Nike,shoe,Grey,65,USD,853,TRUE,"XS,S,M"
SKU06587,Diadora,shoe,Grey,66,USD,977,TRUE,"S,M,L"
SKU06302,Diadora,shoe,Khaki,65,USD,0,FALSE,"XS,S,M,L"
SKU08375,Converse,shoe,Black,35,USD,0,FALSE,"XS,S,M,L"
SKU08760,Converse,shoe,Navy,41,USD,208,TRUE,"S,M,L"
SKU07085,NewBalance,shoe,Khaki,37,USD,1528,TRUE,"S,L"
SKU03207,Puma,shoe,Blue,99,USD,0,FALSE,"M,L"
SKU05953,Hummel,shoe,Navy,63,USD,0,FALSE,"XS,M,L,XL"
SKU08460,Converse,shoe,White,41,USD,1182,TRUE,"XXS,S,M,L"
SKU06621,Diadora,shoe,Ivory,58,USD,1872,TRUE,"S,M"
SKU03831,Puma,shoe,Ivory,57,USD,1620,TRUE,"S,M,L"
SKU09183,Onitsuka,shoe,Navy,32,USD,754,TRUE,"XXS,S,M"
SKU02490,Vans,shoe,Green,69,USD,0,FALSE,"XS,S,M,L,XL"
SKU08965,Converse,shoe,Green,45,USD,0,FALSE,"S,M,L"
SKU05332,Hummel,shoe,Blue,68,USD,563,TRUE,"S,M,L"
SKU03311,Puma,shoe,White,55,USD,0,FALSE,"XXS,S,M,XL"
SKU02187,Vans,shoe,Red,44,USD,1402,TRUE,"XS,S,M,L"
SKU06538,Diadora,shoe,Red,66,USD,548,TRUE,"XS,S,M,L"
SKU05710,Hummel,shoe,Blue,64,USD,601,TRUE,"XXS,S,M,L"
SKU07701,NewBalance,shoe,Yellow,85,USD,1379,TRUE,"XS,S,M,L"
SKU05285,Hummel,shoe,Khaki,35,USD,0,FALSE,"XS,M,XL"
SKU00876,Nike,shoe,Ivory,72,USD,0,FALSE,"S,M,L,XL"
SKU08809,Converse,shoe,Black,43,USD,0,FALSE,"S,M,L"
SKU02446,Vans,shoe,Blue,95,USD,0,FALSE,"S,M,XL"
SKU01016,Adidas,shoe,White,80,USD,0,FALSE,"S,L"
SKU08725,Converse,shoe,Blue,72,USD,0,FALSE,"XXS,S,M,L,XL"
SKU00924,Nike,shoe,Khaki,100,USD,748,TRUE,"M,L"
SKU02607,Vans,shoe,Navy,68,USD,1368,TRUE,"M,L"
SKU00587,Nike,shoe,Khaki,72,USD,0,FALSE,"S,M,L"
SKU07372,NewBalance,shoe,Khaki,68,USD,0,FALSE,"S,M,L,XXL"
SKU00946,Nike,shoe,Black,77,USD,1584,TRUE,"S,M,L,XL"
SKU06176,Diadora,shoe,Yellow,79,USD,0,FALSE,"XS,S,M,L,XL"
SKU00714,Nike,shoe,Ivory,77,USD,880,TRUE,"S,M,L,XL"
SKU09071,Onitsuka,shoe,Green,37,USD,594,TRUE,"M,L"
SKU06009,Diadora,shoe,White,31,USD,0,FALSE,"S,M,L"
SKU03053,Puma,shoe,Ivory,84,USD,1888,TRUE,"XS,S,M"
SKU01685,Adidas,shoe,Navy,65,USD,466,TRUE,"M,L,XL"
SKU05262,Hummel,shoe,Blue,82,USD,0,FALSE,"S,M,XL"
SKU04887,Sketchers,shoe,Khaki,44,USD,0,FALSE,"XS,S,M"
SKU07656,NewBalance,shoe,Blue,32,USD,0,FALSE,"XXS,XS,S,M,L"
SKU06546,Diadora,shoe,Green,61,USD,0,FALSE,"M,XL"
SKU00073,Nike,shoe,Yellow,61,USD,938,TRUE,"S,M,L"
SKU01986,Adidas,shoe,Ivory,81,USD,0,FALSE,"S,M"
SKU05947,Hummel,shoe,Yellow,69,USD,0,FALSE,"M,L"
SKU04732,Sketchers,shoe,Green,87,USD,1277,TRUE,"S,M,L"
SKU04246,Sketchers,shoe,Red,91,USD,0,FALSE,"S,M"
SKU03469,Puma,shoe,Red,65,USD,0,FALSE,"S,M,L"
SKU02769,Vans,shoe,Yellow,47,USD,0,FALSE,"S,M,L,XXL"
SKU05666,Hummel,shoe,Black,83,USD,0,FALSE,"M,L"
SKU00735,Nike,shoe,White,35,USD,0,FALSE,"S,M,L"
SKU02453,Vans,shoe,Yellow,49,USD,0,FALSE,"XS,S,M,L,XL"
SKU02474,Vans,shoe,Grey,96,USD,1127,TRUE,"XXS,L"
SKU09811,Onitsuka,shoe,Yellow,60,USD,1552,TRUE,"S,M,L"
SKU06838,Diadora,shoe,Red,100,USD,520,TRUE,"XS,S,L,XL"
SKU06999,Diadora,shoe,Red,33,USD,821,TRUE,"XS,M,L"
SKU07271,NewBalance,shoe,Blue,35,USD,0,FALSE,"XS,S,M,L,XXL"
SKU07945,NewBalance,shoe,Ivory,37,USD,1838,TRUE,"M,L,XXL"
SKU08373,Converse,shoe,Grey,75,USD,1884,TRUE,XS
SKU07502,NewBalance,shoe,Grey,83,USD,0,FALSE,"S,M,L,XL"
SKU02193,Vans,shoe,Khaki,93,USD,440,TRUE,"S,M,L"
SKU03546,Puma,shoe,Black,84,USD,381,TRUE,"M,XL"
SKU09344,Onitsuka,shoe,Blue,51,USD,776,TRUE,"S,M,L"
SKU08447,Converse,shoe,Grey,61,USD,0,FALSE,"S,M,XL"
SKU09757,Onitsuka,shoe,Ivory,45,USD,0,FALSE,"S,M,L,XL"
SKU07693,NewBalance,shoe,Navy,60,USD,0,FALSE,"XS,S,M,L"
SKU05080,Hummel,shoe,Green,84,USD,1364,TRUE,"S,M,L"
SKU00001,Nike,shoe,Ivory,59,USD,0,FALSE,"S,M,L"
SKU01431,Adidas,shoe,Navy,46,USD,1007,TRUE,"M,L,XL"
SKU07741,NewBalance,shoe,Red,52,USD,1145,TRUE,"S,M,L,XL"
SKU06037,Diadora,shoe,Red,45,USD,1525,TRUE,"XS,M,L"
SKU07775,NewBalance,shoe,Black,62,USD,1793,TRUE,"S,M,L"
SKU09611,Onitsuka,shoe,Black,42,USD,1805,TRUE,"S,M,L"
SKU04917,Sketchers,shoe,Ivory,63,USD,0,FALSE,"M,L,XL"
SKU04110,Sketchers,shoe,Yellow,37,USD,0,FALSE,"S,M,L"
SKU00342,Nike,shoe,Navy,46,USD,0,FALSE,"L,XL"
SKU01272,Adidas,shoe,Khaki,42,USD,0,FALSE,M
SKU02910,Vans,shoe,Blue,58,USD,0,FALSE,"S,M,L,XL,XXL"
SKU00698,Nike,shoe,Black,39,USD,1422,TRUE,"M,L"
SKU02786,Vans,shoe,Grey,91,USD,628,TRUE,"S,M,L,XL"
SKU04514,Sketchers,shoe,Ivory,55,USD,0,FALSE,"S,M,L"
SKU00205,Nike,shoe,Navy,100,USD,0,FALSE,"M,L"
SKU08978,Converse,shoe,Green,82,USD,0,FALSE,"S,M,L,XL"
SKU07739,NewBalance,shoe,Ivory,36,USD,1237,TRUE,"S,M,L"
SKU01484,Adidas,shoe,White,76,USD,0,FALSE,"S,M,L"
SKU08907,Converse,shoe,Navy,84,USD,1368,TRUE,"XXS,M,L"
SKU02113,Vans,shoe,Green,37,USD,0,FALSE,"S,M,L"
SKU02831,Vans,shoe,Grey,61,USD,0,FALSE,"M,L"
SKU08023,Converse,shoe,Red,60,USD,991,TRUE,"XS,S,M,L"
SKU01444,Adidas,shoe,Ivory,36,USD,1955,TRUE,"XS,M,L"
SKU02200,Vans,shoe,Navy,30,USD,1949,TRUE,"S,M,L,XL"
SKU01251,Adidas,shoe,Blue,92,USD,0,FALSE,"XXS,XS,M,L"
SKU04927,Sketchers,shoe,Yellow,50,USD,1947,TRUE,"S,M,L"
SKU03851,Puma,shoe,Yellow,77,USD,981,TRUE,"XS,S,M,L,XL,XXL"
SKU00187,Nike,shoe,Khaki,34,USD,1819,TRUE,"S,M"
SKU06228,Diadora,shoe,Green,53,USD,0,FALSE,"S,M,L"
SKU00352,Nike,shoe,Blue,41,USD,286,TRUE,"S,M,L"
SKU02832,Vans,shoe,Khaki,60,USD,612,TRUE,"S,M,L,XL"
SKU00609,Nike,shoe,Ivory,59,USD,0,FALSE,"S,M,L"
SKU06659,Diadora,shoe,Green,41,USD,734,TRUE,"S,M,L"
SKU07472,NewBalance,shoe,Yellow,45,USD,1510,TRUE,"S,M,L"
SKU02793,Vans,shoe,Green,91,USD,1800,TRUE,"M,L"
SKU01533,Adidas,shoe,Black,84,USD,0,FALSE,"M,L,XL"
SKU04053,Sketchers,shoe,Green,86,USD,0,FALSE,"S,XL"
SKU01567,Adidas,shoe,Black,60,USD,816,TRUE,"S,M,L"
SKU07964,NewBalance,shoe,Grey,81,USD,0,FALSE,"M,L,XXL"
SKU01167,Adidas,shoe,Grey,82,USD,735,TRUE,"XS,S,M,L"
SKU01045,Adidas,shoe,White,48,USD,1084,TRUE,"S,M,L"
SKU04960,Sketchers,shoe,Navy,90,USD,0,FALSE,"S,M,L,XL"
SKU07073,NewBalance,shoe,Navy,45,USD,0,FALSE,"XS,M,L,XL"
SKU08645,Converse,shoe,Grey,97,USD,0,FALSE,"M,L"
SKU00728,Nike,shoe,Red,48,USD,920,TRUE,"S,M,L,XL"
SKU09514,Onitsuka,shoe,Navy,94,USD,0,FALSE,"M,L,XL"
SKU00589,Nike,shoe,Grey,63,USD,666,TRUE,"S,M"
SKU03079,Puma,shoe,Navy,87,USD,1526,TRUE,"S,M,L"
SKU05321,Hummel,shoe,Blue,53,USD,0,FALSE,"S,M,XL"
SKU09955,Onitsuka,shoe,Grey,88,USD,0,FALSE,"XS,S,M,L"
SKU00571,Nike,shoe,Yellow,96,USD,869,TRUE,"M,L,XL,XXL"
SKU04817,Sketchers,shoe,Green,81,USD,1700,TRUE,"S,M,L"
SKU07414,NewBalance,shoe,Grey,57,USD,576,TRUE,"S,M,L,XXL"
SKU02565,Vans,shoe,White,55,USD,494,TRUE,"XS,M,L"
SKU01770,Adidas,shoe,Black,45,USD,0,FALSE,"S,M,L"
SKU00478,Nike,shoe,Yellow,74,USD,1306,TRUE,"S,M,L"
SKU06484,Diadora,shoe,Blue,76,USD,0,FALSE,"XS,S,M,L"
SKU02393,Vans,shoe,Yellow,65,USD,0,FALSE,"XS,S,M,XL"
SKU09145,Onitsuka,shoe,Green,66,USD,237,TRUE,"S,M,XL"
SKU08228,Converse,shoe,Yellow,65,USD,1950,TRUE,"S,M,L,XXL"
SKU09500,Onitsuka,shoe,Black,44,USD,207,TRUE,"S,M"
SKU09199,Onitsuka,shoe,Yellow,36,USD,0,FALSE,"S,M,XL"
SKU05062,Hummel,shoe,White,92,USD,1365,TRUE,"XS,S,M,L"
SKU01175,Adidas,shoe,Navy,93,USD,0,FALSE,"S,M,L,XXL"
SKU07233,NewBalance,shoe,Blue,67,USD,0,FALSE,"M,L,XL"
SKU07684,NewBalance,shoe,Navy,81,USD,0,FALSE,"S,M,L,XL"
SKU09774,Onitsuka,shoe,White,75,USD,0,FALSE,"S,L,XL"
SKU07587,NewBalance,shoe,Blue,50,USD,0,FALSE,"S,M,L"
SKU08531,Converse,shoe,Ivory,59,USD,1948,TRUE,"S,M,L"
SKU01447,Adidas,shoe,Blue,83,USD,796,TRUE,"XS,M,L,XL"
SKU03299,Puma,shoe,Yellow,60,USD,568,TRUE,"S,M,XL"
SKU02950,Vans,shoe,White,78,USD,0,FALSE,"S,M,L,XL"
SKU04002,Sketchers,shoe,Blue,73,USD,0,FALSE,"S,L"
SKU06914,Diadora,shoe,Green,88,USD,431,TRUE,"S,M,L"
SKU04859,Sketchers,shoe,Navy,32,USD,0,FALSE,"S,M"
SKU02239,Vans,shoe,Grey,58,USD,0,FALSE,"S,L"
SKU07810,NewBalance,shoe,White,70,USD,0,FALSE,"M,L"
SKU05983,Hummel,shoe,Grey,69,USD,1591,TRUE,"M,L,XL"
SKU01611,Adidas,shoe,Black,42,USD,1293,TRUE,"S,M,L"
SKU01579,Adidas,shoe,Khaki,53,USD,0,FALSE,"S,M"
SKU06923,Diadora,shoe,Red,65,USD,0,FALSE,"M,L"
SKU08613,Converse,shoe,Navy,53,USD,0,FALSE,"XXS,S,M,L,XXL"
SKU09170,Onitsuka,shoe,Black,92,USD,1678,TRUE,"XS,S,M,L"
SKU06654,Diadora,shoe,Blue,98,USD,0,FALSE,"S,M,L,XL"
SKU07649,NewBalance,shoe,Ivory,45,USD,592,TRUE,"S,M,L"
SKU01113,Adidas,shoe,Green,67,USD,218,TRUE,"S,M"
SKU00643,Nike,shoe,White,50,USD,501,TRUE,"XS,M,L"
SKU03430,Puma,shoe,Navy,86,USD,980,TRUE,"XS,S,M,L"
SKU00827,Nike,shoe,Ivory,40,USD,0,FALSE,"M,L"
SKU03519,Puma,shoe,Grey,81,USD,0,FALSE,L
SKU01566,Adidas,shoe,Ivory,49,USD,191,TRUE,"XS,S,L"
SKU01912,Adidas,shoe,Ivory,98,USD,0,FALSE,"S,M,L,XL"
SKU08826,Converse,shoe,Black,53,USD,0,FALSE,"M,L,XL,XXL"
SKU00960,Nike,shoe,Navy,96,USD,0,FALSE,"S,M,L"
SKU05781,Hummel,shoe,Green,76,USD,853,TRUE,"S,M,L"
SKU02273,Vans,shoe,Ivory,71,USD,23,TRUE,"XXS,S,M"
SKU03738,Puma,shoe,Navy,46,USD,0,FALSE,"S,L,XL"
SKU07221,NewBalance,shoe,Green,35,USD,1827,TRUE,L
SKU03998,Puma,shoe,Yellow,71,USD,754,TRUE,"S,M,L"
SKU00886,Nike,shoe,Yellow,62,USD,1055,TRUE,"S,M,L"
SKU07178,NewBalance,shoe,Blue,100,USD,0,FALSE,"M,XL"
SKU01021,Adidas,shoe,Grey,33,USD,0,FALSE,"M,L"
SKU01406,Adidas,shoe,Navy,68,USD,0,FALSE,"XS,S,M,L"
SKU08968,Converse,shoe,Grey,31,USD,0,FALSE,"XXS,M,L"
SKU09818,Onitsuka,shoe,Grey,78,USD,0,FALSE,"S,L,XL"
SKU00006,Nike,shoe,Navy,49,USD,0,FALSE,"S,M,L"
SKU01013,Adidas,shoe,Red,34,USD,1323,TRUE,"XS,S,M,L"
SKU08988,Converse,shoe,Red,40,USD,0,FALSE,"S,M"
SKU06939,Diadora,shoe,Green,47,USD,0,FALSE,"S,M,L"
SKU06438,Diadora,shoe,Yellow,42,USD,245,TRUE,"S,M,L"
SKU09939,Onitsuka,shoe,White,88,USD,1217,TRUE,"S,M,L,XL"
SKU04489,Sketchers,shoe,Green,89,USD,1858,TRUE,"XS,S,M,L"
SKU00304,Nike,shoe,Navy,82,USD,680,TRUE,"S,M,L"
SKU08518,Converse,shoe,Green,48,USD,1804,TRUE,"S,M,L"
SKU04779,Sketchers,shoe,Yellow,48,USD,241,TRUE,"S,M,L,XL"
SKU02439,Vans,shoe,Navy,43,USD,0,FALSE,"S,M,L"
SKU02726,Vans,shoe,White,87,USD,0,FALSE,"S,M,L"
SKU04542,Sketchers,shoe,White,86,USD,889,TRUE,"M,L,XL"
SKU00895,Nike,shoe,Blue,52,USD,67,TRUE,"M,XL"
SKU05856,Hummel,shoe,Black,59,USD,0,FALSE,"S,M,L,XL"
SKU00850,Nike,shoe,Yellow,44,USD,1624,TRUE,"M,L,XL"
SKU01493,Adidas,shoe,Red,39,USD,87,TRUE,"M,L,XL"
SKU00289,Nike,shoe,Green,73,USD,1604,TRUE,"XXS,S,M,L"
SKU01830,Adidas,shoe,Red,47,USD,0,FALSE,"S,M,L,XXL"
SKU05249,Hummel,shoe,Blue,67,USD,368,TRUE,"XS,S,M,L,XL"
SKU05271,Hummel,shoe,Black,61,USD,0,FALSE,"S,M,L"
SKU02938,Vans,shoe,Green,53,USD,1376,TRUE,"XS,S,M,L"
